,time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
214,2025-03-14 17:00:04.790000,-0.44995117,0.80078125,0.34277344,-1.159668,2.4414062,-0.7324218
215,2025-03-14 17:00:04.800000,-0.45263672,0.80029297,0.3466797,-1.2817382,2.807617,-1.159668
216,2025-03-14 17:00:04.810000,-0.46044922,0.7939453,0.35327148,-1.4038085,3.234863,-1.2207031
217,2025-03-14 17:00:04.820000,-0.46679688,0.7858887,0.35791016,-1.0986328,3.4179685,-1.4648436
218,2025-03-14 17:00:04.830000,-0.46850586,0.78271484,0.36010742,-0.48828122,3.5400388,-2.0751953
219,2025-03-14 17:00:04.840000,-0.47143555,0.78808594,0.35668945,0.3662109,3.9062498,-2.868652
220,2025-03-14 17:00:04.850000,-0.47509766,0.7949219,0.35009766,1.0986328,4.5166016,-3.2958982
221,2025-03-14 17:00:04.860000,-0.47827148,0.7993164,0.33862305,1.7700194,5.3710933,-3.234863
222,2025-03-14 17:00:04.870000,-0.47998047,0.80249023,0.3334961,2.319336,6.103515,-2.868652
223,2025-03-14 17:00:04.880000,-0.48046875,0.80126953,0.33740234,2.319336,6.5307612,-2.1972656
224,2025-03-14 17:00:04.890000,-0.47827148,0.80126953,0.33813477,2.319336,7.0800776,-1.7700194
225,2025-03-14 17:00:04.900000,-0.47387695,0.80566406,0.33813477,2.2583008,8.117676,-1.7089843
226,2025-03-14 17:00:04.910000,-0.46777344,0.8066406,0.3544922,1.7700194,9.521484,-1.7700194
227,2025-03-14 17:00:04.920000,-0.4638672,0.8029785,0.37939453,1.159668,11.535644,-1.7700194
228,2025-03-14 17:00:04.930000,-0.45532227,0.79345703,0.40112305,0.8544921,13.97705,-1.9531249
229,2025-03-14 17:00:04.940000,-0.44555664,0.7922363,0.42504883,1.0375977,17.150879,-2.4414062
230,2025-03-14 17:00:04.950000,-0.43969727,0.7956543,0.44580078,1.7089843,21.423338,-3.4179685
231,2025-03-14 17:00:04.960000,-0.43115234,0.8034668,0.45874023,3.234863,26.916502,-4.0893555
232,2025-03-14 17:00:04.970000,-0.41601562,0.8088379,0.45458984,4.9438477,33.26416,-4.760742
233,2025-03-14 17:00:04.980000,-0.4008789,0.80615234,0.4584961,6.408691,39.916992,-5.187988
234,2025-03-14 17:00:04.990000,-0.40649414,0.8034668,0.453125,7.568359,46.32568,-5.249023
235,2025-03-14 17:00:05.000000,-0.4152832,0.79785156,0.43701172,9.155273,51.330563,-6.347656
236,2025-03-14 17:00:05.010000,-0.41088867,0.8039551,0.43481445,10.559081,54.62646,-7.0800776
237,2025-03-14 17:00:05.020000,-0.41381836,0.8093262,0.43676758,11.230468,56.88476,-8.117676
238,2025-03-14 17:00:05.030000,-0.40698242,0.8051758,0.4416504,11.718749,57.861324,-9.82666
239,2025-03-14 17:00:05.040000,-0.40966797,0.7973633,0.43920898,12.634276,58.959957,-10.559081
240,2025-03-14 17:00:05.050000,-0.42626953,0.79052734,0.4296875,14.09912,59.997555,-11.291503
241,2025-03-14 17:00:05.060000,-0.42260742,0.7897949,0.42944336,16.296387,61.523434,-12.634276
242,2025-03-14 17:00:05.070000,-0.41967773,0.79052734,0.41210938,18.737793,64.208984,-13.793944
243,2025-03-14 17:00:05.080000,-0.40771484,0.78564453,0.38500977,21.606443,70.251465,-14.892577
244,2025-03-14 17:00:05.090000,-0.38891602,0.7807617,0.36547852,24.29199,80.38329,-15.197753
245,2025-03-14 17:00:05.100000,-0.375,0.7746582,0.33569336,26.123045,93.9331,-15.502929
246,2025-03-14 17:00:05.110000,-0.3840332,0.7631836,0.28686523,28.07617,109.31396,-16.540527
247,2025-03-14 17:00:05.120000,-0.43017578,0.7597656,0.23510742,30.517576,122.61962,-17.76123
248,2025-03-14 17:00:05.129999,-0.4892578,0.7595215,0.19726562,32.592773,129.08936,-18.859863
249,2025-03-14 17:00:05.139999,-0.5410156,0.75634766,0.1706543,34.240723,125.54931,-19.592285
